method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.18,,0.4453202413081445
DM,1,static,power,0.185,,0.4791442505915353
DM,2,static,power,0.155,,0.4930798889550296
DM,3,static,power,0.17,,0.4960011046597604
DM,4,static,power,0.13,,0.4975748502994012
Oracle,0,static,power,1.0,,2.944309483952e-07
Oracle,1,static,power,1.0,,7.429629343535739e-06
Oracle,2,static,power,1.0,,0.00033434305377664424
Oracle,3,static,power,0.99,,0.006165790686174765
Oracle,4,static,power,0.845,,0.06146706586826347
RV,0,static,power,0.915,0.9589381391768278,0.03334807185826875
RV,1,static,power,0.815,0.9587293357014347,0.0637425161520666
RV,2,static,power,0.7,0.951217203838792,0.10256401427650409
RV,3,static,power,0.605,0.9232754913583067,0.14859969442128587
RV,4,static,power,0.395,0.8714975084991359,0.24542914171656688
SS,0,static,power,0.44,0.7741804783322201,0.3676702311041478
SS,1,static,power,0.385,0.8441443862962834,0.38728904420360316
SS,2,static,power,0.325,0.9390707573937641,0.425994668161631
SS,3,static,power,0.17,1.1381292378489676,0.44476595937233676
SS,4,static,power,0.135,1.658564075360664,0.4674850299401198
cDM,0,static,power,0.2,,0.3876944487043994
cDM,1,static,power,0.165,,0.4290960572419858
cDM,2,static,power,0.175,,0.46176520930664794
cDM,3,static,power,0.145,,0.46127052837870636
cDM,4,static,power,0.125,,0.49138722554890224
